,fp,label,good
0,./vae_out/x/x_4482.png,good,True
1,./vae_out/x/x_4683.png,good,True
2,./vae_out/x/x_4409.png,good,True
3,./vae_out/x/x_3928.png,good,True
4,./vae_out/x/x_4529.png,good,True
5,./vae_out/x/x_3822.png,good,True
6,./vae_out/x/x_3173.png,good,True
7,./vae_out/x/x_3780.png,good,True
8,./vae_out/x/x_1468.png,good,True
9,./vae_out/x/x_3141.png,good,True
10,./vae_out/x/x_2111.png,bad,False
11,./vae_out/x/x_2740.png,good,True
12,./vae_out/x/x_1105.png,bad,False
13,./vae_out/x/x_2328.png,good,True
14,./vae_out/x/x_1096.png,good,True
15,./vae_out/x/x_3010.png,good,True
16,./vae_out/x/x_1621.png,good,True
17,./vae_out/x/x_3778.png,bad,False
18,./vae_out/x/x_0291.png,good,True
19,./vae_out/x/x_1154.png,good,True
20,./vae_out/x/x_1688.png,good,True
21,./vae_out/x/x_4774.png,bad,False
22,./vae_out/x/x_0639.png,bad,False
23,./vae_out/x/x_0464.png,good,True
24,./vae_out/x/x_2714.png,good,True
25,./vae_out/x/x_4231.png,good,True
26,./vae_out/x/x_2978.png,good,True
27,./vae_out/x/x_3407.png,bad,False
28,./vae_out/x/x_2116.png,bad,False
29,./vae_out/x/x_4985.png,good,True
30,./vae_out/x/x_2613.png,good,True
31,./vae_out/x/x_1634.png,good,True
32,./vae_out/x/x_0798.png,good,True
33,./vae_out/x/x_3339.png,good,True
34,./vae_out/x/x_3683.png,good,True
35,./vae_out/x/x_4925.png,good,True
36,./vae_out/x/x_2847.png,good,True
37,./vae_out/x/x_2102.png,good,True
38,./vae_out/x/x_1779.png,good,True
39,./vae_out/x/x_1782.png,good,True
40,./vae_out/x/x_3254.png,good,True
41,./vae_out/x/x_0485.png,good,True
42,./vae_out/x/x_1778.png,good,True
43,./vae_out/x/x_1776.png,good,True
44,./vae_out/x/x_3056.png,good,True
45,./vae_out/x/x_4419.png,good,True
46,./vae_out/x/x_0900.png,good,True
47,./vae_out/x/x_3945.png,good,True
48,./vae_out/x/x_0254.png,good,True
49,./vae_out/x/x_3865.png,good,True
50,./vae_out/x/x_3599.png,good,True
51,./vae_out/x/x_0321.png,good,True
52,./vae_out/x/x_1023.png,good,True
53,./vae_out/x/x_4977.png,bad,False
54,./vae_out/x/x_0311.png,good,True
55,./vae_out/x/x_0367.png,good,True
56,./vae_out/x/x_1142.png,good,True
57,./vae_out/x/x_3927.png,good,True
58,./vae_out/x/x_0057.png,good,True
59,./vae_out/x/x_2901.png,bad,False
60,./vae_out/x/x_2803.png,bad,False
61,./vae_out/x/x_1911.png,good,True
62,./vae_out/x/x_4311.png,bad,False
63,./vae_out/x/x_1460.png,bad,False
64,./vae_out/x/x_3332.png,good,True
65,./vae_out/x/x_4659.png,good,True
66,./vae_out/x/x_4024.png,good,True
67,./vae_out/x/x_4719.png,bad,False
68,./vae_out/x/x_2999.png,good,True
69,./vae_out/x/x_1069.png,good,True
70,./vae_out/x/x_3458.png,good,True
71,./vae_out/x/x_2464.png,good,True
72,./vae_out/x/x_4669.png,good,True
73,./vae_out/x/x_3159.png,bad,False
74,./vae_out/x/x_0062.png,bad,False
75,./vae_out/x/x_3967.png,good,True
76,./vae_out/x/x_4672.png,bad,False
77,./vae_out/x/x_4752.png,good,True
78,./vae_out/x/x_2461.png,good,True
79,./vae_out/x/x_3053.png,good,True
80,./vae_out/x/x_3476.png,good,True
81,./vae_out/x/x_3578.png,bad,False
82,./vae_out/x/x_3100.png,good,True
83,./vae_out/x/x_4394.png,bad,False
