,val_acc,test_acc,n_bad_images,n_unique_bad_images,i_bad_images,i_unique_bad_images,ii_bad_images,ii_unique_bad_images,iii_bad_images,iii_unique_bad_images,iv_bad_images,iv_unique_bad_images,v_bad_images,v_unique_bad_images,vi_bad_images,vi_unique_bad_images,vii_bad_images,vii_unique_bad_images,viii_bad_images,viii_unique_bad_images,ix_bad_images,ix_unique_bad_images,x_bad_images,x_unique_bad_images
0,0.8784810304641724,0.7692307829856873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9177215099334717,0.75,96.0,96.0,3.0,3.0,14.0,14.0,10.0,10.0,10.0,10.0,4.0,4.0,11.0,11.0,14.0,14.0,8.0,8.0,21.0,21.0,1.0,1.0
2,0.9531645774841309,0.6730769276618958,161.0,158.0,5.0,5.0,24.0,24.0,16.0,16.0,20.0,20.0,6.0,6.0,20.0,18.0,23.0,22.0,22.0,22.0,22.0,22.0,3.0,3.0
3,0.9531645774841309,0.7307692170143127,198.0,188.0,5.0,5.0,30.0,30.0,17.0,17.0,22.0,21.0,6.0,6.0,30.0,26.0,27.0,24.0,27.0,27.0,24.0,23.0,10.0,9.0
4,0.9645569324493408,0.7692307829856873,235.0,209.0,5.0,5.0,37.0,33.0,18.0,18.0,26.0,24.0,8.0,8.0,35.0,27.0,33.0,26.0,31.0,29.0,29.0,27.0,13.0,12.0
5,0.9784809947013855,0.6538461446762085,263.0,228.0,5.0,5.0,42.0,35.0,20.0,20.0,30.0,27.0,8.0,8.0,38.0,28.0,35.0,26.0,39.0,36.0,31.0,29.0,15.0,14.0
6,0.9683544039726257,0.7884615659713745,280.0,234.0,5.0,5.0,44.0,36.0,20.0,20.0,36.0,29.0,8.0,8.0,41.0,29.0,35.0,26.0,44.0,38.0,32.0,29.0,15.0,14.0
7,0.9835442900657654,0.7884615659713745,305.0,247.0,6.0,6.0,50.0,40.0,20.0,20.0,42.0,32.0,8.0,8.0,42.0,29.0,39.0,28.0,50.0,40.0,32.0,29.0,16.0,15.0
8,0.9898734092712402,0.692307710647583,318.0,252.0,6.0,6.0,53.0,42.0,21.0,21.0,45.0,34.0,9.0,8.0,42.0,29.0,40.0,28.0,52.0,40.0,34.0,29.0,16.0,15.0
9,0.9784809947013855,0.7115384340286255,326.0,254.0,6.0,6.0,53.0,42.0,23.0,22.0,47.0,34.0,9.0,8.0,43.0,29.0,40.0,28.0,55.0,41.0,34.0,29.0,16.0,15.0
