,fp,label,good
0,./vae_out/iv/iv_3214.png,good,True
1,./vae_out/iv/iv_0794.png,good,True
2,./vae_out/iv/iv_3859.png,bad,False
3,./vae_out/iv/iv_4135.png,bad,False
4,./vae_out/iv/iv_1535.png,bad,False
5,./vae_out/iv/iv_4808.png,bad,False
6,./vae_out/iv/iv_0339.png,good,True
7,./vae_out/iv/iv_2318.png,good,True
8,./vae_out/iv/iv_3013.png,good,True
9,./vae_out/iv/iv_1604.png,good,True
10,./vae_out/iv/iv_4643.png,good,True
11,./vae_out/iv/iv_1114.png,good,True
12,./vae_out/iv/iv_0180.png,good,True
13,./vae_out/iv/iv_2493.png,good,True
14,./vae_out/iv/iv_0691.png,good,True
15,./vae_out/iv/iv_1710.png,good,True
16,./vae_out/iv/iv_0850.png,good,True
17,./vae_out/iv/iv_0024.png,bad,False
18,./vae_out/iv/iv_2989.png,good,True
19,./vae_out/iv/iv_3888.png,good,True
20,./vae_out/iv/iv_3997.png,good,True
21,./vae_out/iv/iv_3967.png,bad,False
22,./vae_out/iv/iv_1497.png,good,True
23,./vae_out/iv/iv_3209.png,good,True
24,./vae_out/iv/iv_1966.png,good,True
25,./vae_out/iv/iv_1657.png,bad,False
26,./vae_out/iv/iv_2961.png,good,True
27,./vae_out/iv/iv_4393.png,good,True
28,./vae_out/iv/iv_2148.png,good,True
29,./vae_out/iv/iv_2567.png,good,True
30,./vae_out/iv/iv_0653.png,good,True
31,./vae_out/iv/iv_0089.png,good,True
32,./vae_out/iv/iv_4563.png,good,True
33,./vae_out/iv/iv_3098.png,good,True
34,./vae_out/iv/iv_2466.png,good,True
35,./vae_out/iv/iv_3334.png,good,True
36,./vae_out/iv/iv_0559.png,good,True
37,./vae_out/iv/iv_3113.png,good,True
38,./vae_out/iv/iv_2684.png,good,True
39,./vae_out/iv/iv_0186.png,good,True
40,./vae_out/iv/iv_0674.png,bad,False
41,./vae_out/iv/iv_4671.png,good,True
42,./vae_out/iv/iv_0703.png,good,True
43,./vae_out/iv/iv_4815.png,good,True
44,./vae_out/iv/iv_1852.png,bad,False
45,./vae_out/iv/iv_4910.png,good,True
46,./vae_out/iv/iv_1870.png,good,True
47,./vae_out/iv/iv_2967.png,good,True
48,./vae_out/iv/iv_2693.png,good,True
49,./vae_out/iv/iv_3545.png,good,True
